id	name	bmi
AFG	Afghanistan	24.2
ALB	Albania	26.5
DZA	Algeria	26.6
ASM	American Samoa	35.1
AND	Andorra	26.3
AGO	Angola	24.4
ATG	Antigua and Barbuda	28.0
ARG	Argentina	27.8
ARM	Armenia	27.2
AUS	Australia	26.9
AUT	Austria	24.7
AZE	Azerbaijan	28.2
BHS	Bahamas	29.1
BHR	Bahrain	24.8
BGD	Bangladesh	22.1
BRB	Barbados	29.4
BLR	Belarus	26.9
BEL	Belgium	25.7
BLZ	Belize	30.8
BEN	Benin	24.6
BMU	Bermuda	29.4
BTN	Bhutan	24.6
BOL	Bolivia	27.9
BIH	Bosnia and Herzegovina	25.3
BWA	Botswana	26.3
BRA	Brazil	27.0
BRN	Brunei Darussalam	27.3
BGR	Bulgaria	25.9
BFA	Burkina Faso	22.1
BDI	Burundi	21.6
CPV	Cabo Verde	25.4
KHM	Cambodia	22.4
CMR	Cameroon	25.2
CAN	Canada	26.8
CAF	Central African Republic	23.8
TCD	Chad	22.0
CHL	Chile	28.3
CHN	China	23.6
HKG	China (Hong Kong SAR)	23.9
COL	Colombia	26.8
COM	Comoros	25.8
COG	Congo	24.2
COK	Cook Islands	33.4
CRI	Costa Rica	28.1
CIV	Cote d'Ivoire	24.2
HRV	Croatia	27.0
CUB	Cuba	26.2
CYP	Cyprus	26.2
CZE	Czech Republic	26.4
DNK	Denmark	24.6
DJI	Djibouti	24.8
DMA	Dominica	29.2
DOM	Dominican Republic	27.6
COD	DR Congo	22.7
ECU	Ecuador	28.1
EGY	Egypt	31.7
SLV	El Salvador	28.5
GNQ	Equatorial Guinea	26.0
ERI	Eritrea	21.2
EST	Estonia	26.0
ETH	Ethiopia	21.1
FJI	Fiji	29.0
FIN	Finland	25.7
FRA	France	24.3
PYF	French Polynesia	29.6
GAB	Gabon	26.7
GMB	Gambia	24.7
GEO	Georgia	27.9
DEU	Germany	26.0
GHA	Ghana	25.4
GRC	Greece	26.9
GRL	Greenland	26.8
GRD	Grenada	29.0
GTM	Guatemala	27.5
GIN	Guinea	23.5
GNB	Guinea Bissau	24.2
GUY	Guyana	28.0
HTI	Haiti	24.3
HND	Honduras	27.9
HUN	Hungary	26.7
ISL	Iceland	25.6
IND	India	22.0
IDN	Indonesia	23.9
IRN	Iran	27.3
IRQ	Iraq	29.9
IRL	Ireland	27.2
ISR	Israel	27.1
ITA	Italy	24.9
JAM	Jamaica	29.9
JPN	Japan	21.8
JOR	Jordan	30.1
KAZ	Kazakhstan	26.7
KEN	Kenya	24.6
KIR	Kiribati	31.3
KWT	Kuwait	30.7
KGZ	Kyrgyzstan	27.4
LAO	Lao PDR	23.2
LVA	Latvia	26.5
LBN	Lebanon	27.6
LSO	Lesotho	27.1
LBR	Liberia	25.2
LBY	Libya	29.6
LTU	Lithuania	26.1
LUX	Luxembourg	25.8
MKD	Macedonia (TFYR)	26.4
MDG	Madagascar	21.1
MWI	Malawi	23.3
MYS	Malaysia	26.3
MDV	Maldives	26.6
MLI	Mali	23.2
MLT	Malta	26.6
MHL	Marshall Islands	30.7
MRT	Mauritania	26.8
MUS	Mauritius	26.1
MEX	Mexico	28.6
FSM	Micronesia (Federated States of)	31.5
MDA	Moldova	27.6
MNG	Mongolia	26.8
MNE	Montenegro	26.3
MAR	Morocco	26.7
MOZ	Mozambique	23.5
MMR	Myanmar	23.2
NAM	Namibia	25.5
NRU	Nauru	32.9
NPL	Nepal	22.5
NLD	Netherlands	25.3
NZL	New Zealand	28.1
NIC	Nicaragua	28.1
NER	Niger	22.4
NGA	Nigeria	24.0
NIU	Niue	33.5
PRK	North Korea	24.1
NOR	Norway	26.3
PSE	Occupied Palestinian Territory	30.0
OMN	Oman	26.5
PAK	Pakistan	24.8
PLW	Palau	29.7
PAN	Panama	27.8
PNG	Papua New Guinea	26.0
PRY	Paraguay	27.1
PER	Peru	27.3
PHL	Philippines	23.6
POL	Poland	26.2
PRT	Portugal	25.3
PRI	Puerto Rico	28.7
QAT	Qatar	30.4
ROU	Romania	27.0
RUS	Russian Federation	26.7
RWA	Rwanda	22.8
KNA	Saint Kitts and Nevis	30.9
LCA	Saint Lucia	30.6
VCT	Saint Vincent and the Grenadines	28.4
WSM	Samoa	34.3
STP	Sao Tome and Principe	25.8
SAU	Saudi Arabia	29.5
SEN	Senegal	24.1
SRB	Serbia	25.7
SYC	Seychelles	28.2
SLE	Sierra Leone	23.6
SGP	Singapore	23.1
SVK	Slovakia	25.7
SVN	Slovenia	26.7
SLB	Solomon Islands	27.1
SOM	Somalia	24.0
ZAF	South Africa	29.6
KOR	South Korea	23.2
ESP	Spain	24.9
LKA	Sri Lanka	23.8
SDN	Sudan	26.1
SUR	Suriname	27.9
SWZ	Swaziland	29.2
SWE	Sweden	25.5
CHE	Switzerland	23.8
SYR	Syrian Arab Republic	29.5
TWN	Taiwan	23.8
TJK	Tajikistan	26.5
TZA	Tanzania	24.2
THA	Thailand	25.1
TLS	Timor-Leste	21.4
TGO	Togo	24.6
TKL	Tokelau	33.8
TON	Tonga	34.0
TTO	Trinidad and Tobago	28.9
TUN	Tunisia	27.3
TUR	Turkey	28.9
TKM	Turkmenistan	26.8
TUV	Tuvalu	31.9
UGA	Uganda	23.3
UKR	Ukraine	26.4
ARE	United Arab Emirates	29.6
GBR	United Kingdom	27.2
USA	United States of America	29.1
URY	Uruguay	27.6
UZB	Uzbekistan	27.7
VUT	Vanuatu	27.0
VEN	Venezuela	26.9
VNM	Viet Nam	21.9
YEM	Yemen	24.2
ZMB	Zambia	23.8
ZWE	Zimbabwe	25.4
